"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 18 12:57:41 GMT 2024","Wed Dec 18 12:57:47 GMT 2024","6588","Surefire suite","chrome","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Wed Dec 18 12:57:07 GMT 2024","Wed Dec 18 12:57:08 GMT 2024","167","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Wed Dec 18 12:56:52 GMT 2024","Wed Dec 18 12:57:01 GMT 2024","8969","Surefire suite","Surefire test","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Wed Dec 18 12:57:04 GMT 2024","Wed Dec 18 12:57:07 GMT 2024","3018","Surefire suite","Surefire test","com.teamcity.api.SearchTest","com.teamcity.api.SearchTest","searchTest","User should be able to search models",""
"passed","Wed Dec 18 12:57:10 GMT 2024","Wed Dec 18 12:57:10 GMT 2024","179","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest","User should not be able to create project with id exceeding the limit",""
"passed","Wed Dec 18 12:57:10 GMT 2024","Wed Dec 18 12:57:10 GMT 2024","249","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete project",""
"passed","Wed Dec 18 12:56:35 GMT 2024","Wed Dec 18 12:57:22 GMT 2024","46994","Surefire suite","chrome","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Wed Dec 18 12:54:30 GMT 2024","Wed Dec 18 12:55:19 GMT 2024","49699","Surefire suite","chrome","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Wed Dec 18 12:57:07 GMT 2024","Wed Dec 18 12:57:07 GMT 2024","364","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Wed Dec 18 12:57:09 GMT 2024","Wed Dec 18 12:57:09 GMT 2024","59","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Wed Dec 18 12:57:08 GMT 2024","Wed Dec 18 12:57:09 GMT 2024","276","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"passed","Wed Dec 18 12:57:08 GMT 2024","Wed Dec 18 12:57:08 GMT 2024","203","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Wed Dec 18 12:58:17 GMT 2024","Wed Dec 18 12:58:27 GMT 2024","10428","Surefire suite","firefox","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Wed Dec 18 12:57:02 GMT 2024","Wed Dec 18 12:57:03 GMT 2024","1688","Surefire suite","Surefire test","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildWithWireMockTest","User should be able to start build (with WireMock)",""
